iter	Passed	Remaining
0	140	140057
1	141	70399
2	141	47186
3	142	35519
4	143	28480
5	143	23850
6	144	20566
7	145	18066
8	146	16120
9	147	14553
10	147	13266
11	148	12193
12	148	11285
13	149	10517
14	149	9844
15	150	9252
16	150	8730
17	151	8262
18	151	7845
19	152	7471
20	153	7134
21	153	6826
22	154	6546
23	154	6293
24	155	6065
25	156	5850
26	156	5651
27	157	5467
28	158	5292
29	158	5128
30	159	4975
31	159	4830
32	160	4695
33	160	4570
34	161	4450
35	161	4336
36	162	4228
37	163	4126
38	163	4029
39	164	3937
40	164	3850
41	165	3768
42	165	3691
43	166	3617
44	167	3546
45	167	3476
46	168	3410
47	168	3348
48	169	3288
49	169	3228
50	170	3171
51	170	3116
52	171	3065
53	172	3015
54	172	2966
55	173	2919
56	173	2873
57	174	2830
58	174	2787
59	175	2745
60	175	2706
61	176	2667
62	176	2631
63	177	2595
64	178	2561
65	178	2527
66	179	2494
67	179	2463
68	180	2433
69	180	2403
70	181	2375
71	182	2348
72	182	2321
73	183	2296
74	184	2271
75	184	2245
76	185	2220
77	185	2196
78	186	2172
79	186	2149
80	187	2129
81	188	2109
82	188	2086
83	189	2066
84	190	2046
85	190	2026
86	191	2007
87	191	1989
88	192	1971
89	193	1954
90	194	1938
91	194	1920
92	195	1904
93	195	1887
94	196	1870
95	196	1854
96	197	1838
97	198	1823
98	198	1809
99	199	1795
100	199	1779
101	200	1765
102	201	1750
103	201	1736
104	202	1723
105	202	1709
106	203	1696
107	203	1683
108	204	1670
109	204	1658
110	205	1645
111	206	1633
112	206	1621
113	207	1610
114	207	1599
115	208	1588
116	208	1576
117	209	1565
118	210	1555
119	210	1545
120	211	1534
121	211	1523
122	212	1513
123	212	1503
124	213	1493
125	213	1483
126	214	1472
127	214	1464
128	215	1455
129	216	1446
130	216	1437
131	217	1429
132	217	1420
133	218	1412
134	219	1404
135	219	1395
136	220	1388
137	220	1380
138	221	1372
139	222	1364
140	222	1356
141	223	1348
142	223	1341
143	224	1334
144	225	1327
145	225	1320
146	226	1314
147	227	1307
148	227	1300
149	228	1294
150	229	1287
151	229	1281
152	230	1274
153	230	1267
154	231	1261
155	232	1255
156	232	1249
157	233	1243
158	233	1236
159	234	1230
160	234	1223
161	235	1218
162	236	1212
163	236	1207
164	237	1202
165	238	1197
166	238	1191
167	239	1186
168	240	1180
169	240	1175
170	241	1170
171	242	1165
172	242	1160
173	243	1155
174	244	1151
175	244	1146
176	245	1141
177	246	1136
178	246	1132
179	247	1127
180	248	1123
181	248	1118
182	249	1113
183	249	1108
184	250	1103
185	251	1098
186	251	1094
187	252	1089
188	252	1085
189	253	1081
190	254	1076
191	254	1072
192	255	1067
193	255	1063
194	256	1058
195	257	1054
196	257	1050
197	258	1045
198	258	1041
199	259	1037
200	260	1033
201	260	1029
202	261	1025
203	261	1021
204	262	1017
205	263	1014
206	263	1010
207	264	1007
208	265	1003
209	265	999
210	266	995
211	266	991
212	267	988
213	267	984
214	268	980
215	269	976
216	269	973
217	270	970
218	271	966
219	271	963
220	272	959
221	272	956
222	273	952
223	273	949
224	274	945
225	275	941
226	275	938
227	276	935
228	276	931
229	277	928
230	277	924
231	278	921
232	278	917
233	279	914
234	279	911
235	280	908
236	280	904
237	281	901
238	282	898
239	282	895
240	283	891
241	283	888
242	284	885
243	284	882
244	285	879
245	285	876
246	286	873
247	286	870
248	287	867
249	288	864
250	288	861
251	289	858
252	289	855
253	290	852
254	290	849
255	291	846
256	291	843
257	292	840
258	292	837
259	293	835
260	293	832
261	294	829
262	294	826
263	295	823
264	296	821
265	296	818
266	297	816
267	297	813
268	298	811
269	299	808
270	299	806
271	300	803
