iter	Passed	Remaining
0	0	86
1	1	71
2	1	64
3	2	58
4	3	58
5	3	58
6	4	57
7	4	56
8	5	58
9	6	57
10	7	56
11	7	56
12	8	56
13	9	55
14	9	54
15	10	52
16	10	51
17	11	50
18	11	49
19	12	48
20	12	47
21	13	46
22	13	45
23	14	44
24	14	44
25	15	43
26	15	42
27	16	42
28	16	41
29	17	40
30	18	40
31	18	39
32	19	38
33	19	37
34	20	37
35	20	36
36	21	35
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	23	31
43	24	31
44	24	30
45	25	29
46	25	29
47	26	28
48	26	28
49	27	27
50	27	26
51	28	26
52	29	25
53	29	25
54	29	24
55	30	23
56	31	23
57	31	22
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	19
65	36	18
66	36	18
67	37	17
68	38	17
69	38	16
70	39	15
71	39	15
72	40	14
73	40	14
74	41	13
75	42	13
76	42	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	55	0
99	55	0
